,simulation_time,real_time
0,0.001,1702322430.3056083
1,0.002,1702322430.305842
2,0.003,1702322430.3060806
3,0.004,1702322430.3063629
4,0.005,1702322430.3066418
5,0.006,1702322430.306915
6,0.007,1702322430.3073256
7,0.008,1702322430.3075843
8,0.009,1702322430.3078368
9,0.01,1702322430.3080928
10,0.011,1702322430.3083396
11,0.012,1702322430.3085947
12,0.013,1702322430.3088439
13,0.014,1702322430.3090818
14,0.015,1702322430.3093243
15,0.016,1702322430.3095713
16,0.017,1702322430.3098607
17,0.018,1702322430.3100607
18,0.019,1702322430.3102484
19,0.02,1702322430.3104348
20,0.021,1702322430.3106234
21,0.022,1702322430.3108044
22,0.023,1702322430.311046
23,0.024,1702322430.3112898
24,0.024999999999999998,1702322430.3115373
25,0.026,1702322430.311783
26,0.027,1702322430.3120217
27,0.028,1702322430.3122509
28,0.028999999999999998,1702322430.312481
29,0.03,1702322430.3127115
30,0.031,1702322430.3129475
31,0.032,1702322430.313178
32,0.033,1702322430.3134093
33,0.034,1702322430.3136501
34,0.034999999999999996,1702322430.3139086
35,0.036,1702322430.3141534
36,0.037,1702322430.3144042
37,0.038,1702322430.3146586
38,0.039,1702322430.314906
39,0.04,1702322430.3151548
40,0.041,1702322430.3154075
41,0.042,1702322430.3156574
42,0.043,1702322430.3159032
43,0.044,1702322430.316135
44,0.045,1702322430.3163755
45,0.046,1702322430.3166163
46,0.047,1702322430.3168592
47,0.048,1702322430.3170931
48,0.049,1702322430.317328
49,0.049999999999999996,1702322430.3175626
50,0.051,1702322430.3178058
51,0.052,1702322430.3180408
52,0.053,1702322430.3182814
53,0.054,1702322430.3185163
54,0.055,1702322430.3187628
55,0.056,1702322430.3190036
56,0.057,1702322430.319239
57,0.057999999999999996,1702322430.3194711
58,0.059,1702322430.3197093
59,0.06,1702322430.3199403
60,0.061,1702322430.3201766
61,0.062,1702322430.320415
62,0.063,1702322430.320654
63,0.064,1702322430.3209026
64,0.065,1702322430.3211553
65,0.066,1702322430.3214087
66,0.067,1702322430.3216488
67,0.068,1702322430.321896
68,0.06899999999999999,1702322430.322146
69,0.06999999999999999,1702322430.3223844
70,0.071,1702322430.3226173
71,0.072,1702322430.3228564
72,0.073,1702322430.3230908
73,0.074,1702322430.3233242
74,0.075,1702322430.3235552
75,0.076,1702322430.3237853
76,0.077,1702322430.324025
77,0.078,1702322430.3242574
78,0.079,1702322430.324501
79,0.08,1702322430.3247375
80,0.081,1702322430.3250082
81,0.082,1702322430.325249
82,0.083,1702322430.325487
83,0.084,1702322430.3257349
84,0.08499999999999999,1702322430.325999
85,0.086,1702322430.3261898
86,0.087,1702322430.3263674
87,0.088,1702322430.3265443
88,0.089,1702322430.3267207
89,0.09,1702322430.3269083
90,0.091,1702322430.3270864
91,0.092,1702322430.3272693
92,0.093,1702322430.3274546
93,0.094,1702322430.3276408
94,0.095,1702322430.32782
95,0.096,1702322430.3279953
